,HE,Noise Reduction,Stop Loss,VA Stop Loss,# of Trade,Profit Rate,Strike Rate,PnL,Max Drawdown,Sharpe Ratio
0,0.0,0.0,0.0,0.0,20.0,0.1319299399999983,50.0,13192.99,16.00955621475073,0.21635203398313524
1,1.0,0.0,0.0,0.0,3.0,0.09257485999999947,66.66666666666666,9257.49,19.731240255590276,0.12612888141946582
2,0.0,0.0,1.0,0.0,20.0,0.1319299399999983,50.0,13192.99,16.00955621475073,0.21635203398313524
3,0.0,1.0,0.0,0.0,3.0,0.16905212000000058,33.33333333333333,16905.21,21.923096666677583,0.22071016909030897
4,0.0,0.0,0.0,1.0,20.0,0.1319299399999983,50.0,13192.99,16.00955621475073,0.21635203398313524
5,1.0,0.0,1.0,0.0,4.0,0.2009755600000001,50.0,20097.56,11.238569405568056,0.3237291998032187
6,1.0,1.0,0.0,0.0,3.0,0.20940714000000138,33.33333333333333,20940.71,17.445162896233597,0.2801055771670854
7,1.0,0.0,0.0,1.0,3.0,0.09257485999999947,66.66666666666666,9257.49,19.731240255590276,0.12612888141946582
8,0.0,1.0,1.0,0.0,7.0,0.156570419999999,42.857142857142854,15657.04,23.242137336136054,0.20441470244940074
9,0.0,1.0,0.0,1.0,3.0,0.16905212000000058,33.33333333333333,16905.21,21.923096666677583,0.22071016909030897
10,1.0,1.0,1.0,0.0,5.0,0.23946381999999983,60.0,23946.38,15.609570512847124,0.33613796748247177
11,1.0,1.0,0.0,1.0,3.0,0.20940714000000138,33.33333333333333,20940.71,17.445162896233597,0.2801055771670854
12,0.0,0.0,0.0,0.0,13.0,0.5498719400000016,61.53846153846154,54987.19,19.935859430429176,0.8037806931147745
13,1.0,0.0,0.0,0.0,3.0,0.037536280000000845,33.33333333333333,3753.63,21.90369527924933,0.023851157593310125
14,0.0,0.0,1.0,0.0,14.0,0.5496597800000015,57.14285714285714,54965.98,19.94880536109927,0.8039263327333392
15,0.0,1.0,0.0,0.0,3.0,0.14076668999999892,33.33333333333333,14076.67,30.965528050763133,0.1918237093767745
16,0.0,0.0,0.0,1.0,13.0,0.5498719400000016,61.53846153846154,54987.19,19.935859430429176,0.8037806931147745
17,1.0,0.0,1.0,0.0,3.0,0.009535660000000935,33.33333333333333,953.57,23.27026996713129,-0.060108113763161226
18,1.0,1.0,0.0,0.0,3.0,0.12345792999999845,50.0,30095.3,28.30702343623803,0.16674130057723063
19,1.0,0.0,0.0,1.0,3.0,0.037536280000000845,33.33333333333333,3753.63,21.90369527924933,0.023851157593310125
20,0.0,1.0,1.0,0.0,8.0,0.16023684000000052,25.0,16023.68,28.000108325306186,0.20764949515557948
21,0.0,1.0,0.0,1.0,3.0,0.14076668999999892,33.33333333333333,14076.67,30.965528050763133,0.1918237093767745
22,1.0,1.0,1.0,0.0,5.0,0.17901897999999972,20.0,17901.9,28.579150278861224,0.22657184548030573
23,1.0,1.0,0.0,1.0,3.0,0.12345792999999845,50.0,30095.3,28.30702343623803,0.16674130057723063
